Week,CCG_Code,CCG_Name,Priority,Specialty,Clinic_Type,Referrals
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Breast,52
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Cancer of Unknown Primary,1
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Gynaecology,26
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Haematology,3
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Head and Neck,14
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lower GI,58
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lung,2
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Sarcoma,1
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Skin,70
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Upper GI,28
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Urology,19
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Allergy,Other_clinic,3
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Cardiology,Other_clinic,14
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Children's & Adolescent Services,Other_clinic,64
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Dermatology,Other_clinic,59
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Diabetic Medicine,Other_clinic,10
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,"Ear, Nose & Throat",Other_clinic,56
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Endocrinology and Metabolic Medicine,Other_clinic,10
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,General Medicine,Other_clinic,2
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Geriatric Medicine,Other_clinic,30
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,GI and Liver (Medicine and Surgery),Other_clinic,75
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Gynaecology,Other_clinic,70
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Haematology,Other_clinic,16
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Immunology,Other_clinic,7
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Infectious Diseases,Other_clinic,2
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Nephrology,Other_clinic,6
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Neurology,Other_clinic,22
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Neurosurgery,Other_clinic,5
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Ophthalmology,Other_clinic,64
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Oral and Maxillofacial Surgery,Other_clinic,5
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Orthopaedics,Other_clinic,128
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Pain Management,Other_clinic,24
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Physiotherapy,Other_clinic,78
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Podiatry,Other_clinic,5
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Respiratory Medicine,Other_clinic,14
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Rheumatology,Other_clinic,23
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Sleep Medicine,Other_clinic,13
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Breast,Other_clinic,6
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Breast,Other symptomatic Breast (2WW),7
29/06/2020 - 05/07/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Not Otherwise Specified,Other_clinic,22
