Week,CCG_Code,CCG_Name,Priority,Specialty,Clinic_Type,Referrals
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Breast,46
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Cancer of Unknown Primary,1
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Gynaecology,18
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Haematology,3
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Head and Neck,14
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lower GI,41
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lung,4
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Skin,36
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Upper GI,31
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Urology,9
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Dermatology,Other_clinic,1
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Routine,GI and Liver (Medicine and Surgery),Other_clinic,2
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Orthopaedics,Other_clinic,13
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Pain Management,Other_clinic,4
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Physiotherapy,Other_clinic,14
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Cardiology,Other_clinic,23
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Children's & Adolescent Services,Other_clinic,11
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Dermatology,Other_clinic,12
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Diabetic Medicine,Other_clinic,4
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,"Ear, Nose & Throat",Other_clinic,10
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Endocrinology and Metabolic Medicine,Other_clinic,3
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,General Medicine,Other_clinic,7
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Geriatric Medicine,Other_clinic,2
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,GI and Liver (Medicine and Surgery),Other_clinic,7
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Gynaecology,Other_clinic,6
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Haematology,Other_clinic,2
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Nephrology,Other_clinic,1
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Neurology,Other_clinic,5
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Neurosurgery,Other_clinic,4
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Ophthalmology,Other_clinic,2
27/04/2020 - 03/05/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Oral and Maxillofacial Surgery,Other_clinic,1
