Week,CCG_Code,CCG_Name,Priority,Specialty,Clinic_Type,Referrals
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Breast,52
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Gynaecology,35
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Haematology,4
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Head and Neck,24
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lower GI,56
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lung,11
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Skin,59
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Upper GI,37
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Urology,26
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Allergy,Other_clinic,3
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Cardiology,Other_clinic,21
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Children's & Adolescent Services,Other_clinic,92
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Dermatology,Other_clinic,47
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Diabetic Medicine,Other_clinic,7
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Diagnostic Endoscopy,Other_clinic,3
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,"Ear, Nose & Throat",Other_clinic,72
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Endocrinology and Metabolic Medicine,Other_clinic,10
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,General Medicine,Other_clinic,3
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Geriatric Medicine,Other_clinic,19
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,GI and Liver (Medicine and Surgery),Other_clinic,73
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Gynaecology,Other_clinic,71
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Haematology,Other_clinic,8
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Immunology,Other_clinic,4
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Infectious Diseases,Other_clinic,2
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Nephrology,Other_clinic,3
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Neurology,Other_clinic,22
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Neurosurgery,Other_clinic,5
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Ophthalmology,Other_clinic,136
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Oral and Maxillofacial Surgery,Other_clinic,5
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Orthopaedics,Other_clinic,171
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Pain Management,Other_clinic,12
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Physiotherapy,Other_clinic,71
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Respiratory Medicine,Other_clinic,22
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Rheumatology,Other_clinic,35
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Sleep Medicine,Other_clinic,13
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Breast,Other_clinic,2
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Breast,Other symptomatic Breast (2WW),11
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Not Otherwise Specified,Other_clinic,18
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Plastic,Other_clinic,12
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Surgery - Vascular,Other_clinic,14
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Urology,Other_clinic,25
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Cardiology,Other_clinic,20
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Children's & Adolescent Services,Other_clinic,7
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Dermatology,Other_clinic,6
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Diabetic Medicine,Other_clinic,3
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,"Ear, Nose & Throat",Other_clinic,12
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Endocrinology and Metabolic Medicine,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,General Medicine,Other_clinic,7
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Geriatric Medicine,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,GI and Liver (Medicine and Surgery),Other_clinic,14
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Gynaecology,Other_clinic,5
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Haematology,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Nephrology,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Neurology,Other_clinic,3
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Neurosurgery,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Ophthalmology,Other_clinic,12
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Oral and Maxillofacial Surgery,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Orthopaedics,Other_clinic,5
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Respiratory Medicine,Other_clinic,1
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Rheumatology,Other_clinic,8
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Surgery - Breast,Other symptomatic Breast (2WW),2
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Surgery - Not Otherwise Specified,Other_clinic,2
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Surgery - Vascular,Other_clinic,2
28/09/2020 - 04/10/2020,00L,NHS NORTHUMBERLAND CCG,Urgent,Urology,Other_clinic,8
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Breast,29
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Gynaecology,13
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Haematology,1
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Head and Neck,8
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Lower GI,27
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Lung,5
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Skin,18
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Upper GI,11
28/09/2020 - 04/10/2020,00N,NHS SOUTH TYNESIDE CCG,2 Week Wait,2WW,2WW Urology,9
