Week,CCG_Code,CCG_Name,Priority,Specialty,Clinic_Type,Referrals
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Breast,56
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Cancer of Unknown Primary,1
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Gynaecology,37
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Haematology,1
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Head and Neck,22
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lower GI,56
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Lung,8
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Sarcoma,2
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Skin,43
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Upper GI,25
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,2 Week Wait,2WW,2WW Urology,23
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Allergy,Other_clinic,1
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Cardiology,Other_clinic,21
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Children's & Adolescent Services,Other_clinic,58
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Dermatology,Other_clinic,30
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Diabetic Medicine,Other_clinic,6
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Diagnostic Endoscopy,Other_clinic,1
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,"Ear, Nose & Throat",Other_clinic,57
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Endocrinology and Metabolic Medicine,Other_clinic,10
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,General Medicine,Other_clinic,1
31/08/2020 - 06/09/2020,00L,NHS NORTHUMBERLAND CCG,Routine,Geriatric Medicine,Other_clinic,7
